:START_ID,:END_ID,relation,concepts,synsets,numeric_id,:TYPE
"'I know what you're thinking,' Jordan Hayes remarked, approaching Mercer. Their voice was low, a blend of confidence and hidden apprehension.",Jordan Hayes,is participated by,"['is part of', 'is represented by', 'is included in', 'involves', 'acted by']",[],137,Relation
"'I know what you're thinking,' Jordan Hayes remarked, approaching Mercer. Their voice was low, a blend of confidence and hidden apprehension.",Alex Mercer,is participated by,"['is part of', 'is represented by', 'is included in', 'involves', 'acted by']",[],138,Relation
Alex,features,turned,"['transformed', 'converted', 'altered', 'changed']",[],139,Relation
features,mask,became,"['transformed into', 'changed into', 'evolved into', 'became', 'turned into']",[],140,Relation
Alex,mission,said,"['uttered', 'expressed', 'stated', 'mentioned', 'spoke']",[],141,Relation
mission,pawns,felt,"['felt', 'experienced', 'sensed', 'perceived', 'understood']",[],142,Relation
Jordan,mind,nodded,"['confirmed', 'signaled', 'acknowledged', 'consented', 'agreed']",[],143,Relation
mind,dynamics,collided,"['impact', 'bump', 'collide', 'crash', 'smash']",[],144,Relation
Taylor,exchange,interrupted,"['cut off', 'halted', 'broken', 'paused', 'stopped']",[],145,Relation
Alex,Cruz,responded,"['answer', 'respond', 'reply', 'react', 'reply to', 'react to']",[],146,Relation
Cruz,exchange,stepped,"['proceeded', 'walked', 'advanced', 'stepped', 'moved']",[],147,Relation
Alex,rifle,gripped,"['seized', 'held', 'clutched', 'grasped']",[],148,Relation
Sam,luck,spoke,"['say', 'express', 'communicate', 'talk', 'utter']",[],149,Relation
luck,help,seemed,"['gave impression', 'showed itself', 'appeared', 'presented itself', 'seemed', 'looked']",[],150,Relation
Jordan,data,mused,"['pontified', 'reflected', 'ruminated']",[],151,Relation
data,below,waited,"['hold back', 'tarry', 'pause', 'linger', 'delay']",[],152,Relation
Alex,Jordan,whispered,"['speak softly', 'whisper', 'mumble', 'speak quietly', 'murmur']",[],153,Relation
Jordan,compliment,acknowledged,"['confessed', 'acknowledged', 'admitted', 'recognized', 'accepted']",[],154,Relation
"Alex turned, his features a mask of uneasy resolve.","'It's like we're being pulled into someone else’s game. Not just observers or participants, but... pawns.'",because,"['due to', 'on account of', 'thanks to', 'owing to', 'as a result of']",[],155,Relation
"'It's like we're being pulled into someone else’s game. Not just observers or participants, but... pawns.'","Jordan gave a short nod, their analytical mind colliding with the uncertain dynamics of this operation.",because,"['due to', 'on account of', 'thanks to', 'owing to', 'as a result of']",[],156,Relation
"Jordan gave a short nod, their analytical mind colliding with the uncertain dynamics of this operation.","'I've felt that way since the briefing. Like there's a layer we’re not seeing. And yet, we have no choice but to play along.'",and,"['connect', 'combine', 'link']",[],157,Relation
"'You two need to cut the philosophical chatter. We have positions to secure,' Taylor Cruz interjected sharply, stepping into their exchange.","Alex's response was measured, more assertive than moments ago.",after,"['come next', 'ensue', 'follow', 'follow up', 'succeed']",[],158,Relation
"Alex's response was measured, more assertive than moments ago.","'Acknowledged, Agent Cruz,' he replied, his voice steadier, mirroring the transformation brewing within.",because,"['due to', 'on account of', 'thanks to', 'owing to', 'as a result of']",[],159,Relation
"'You two need to cut the philosophical chatter. We have positions to secure,' Taylor Cruz interjected sharply, stepping into their exchange.","Sam Rivera piped in with a tone of balanced levity, 'Hope everyone’s brought their good luck charms. Something tells me we’re going to need all the help we can get.'",at the same time,"['in tandem', 'at once', 'concurrently', 'together', 'simultaneously']",[],160,Relation
"As they congregated at the elevator, a tension palpable, Sam Rivera piped in with a tone of balanced levity, 'Hope everyone’s brought their good luck charms. Something tells me we’re going to need all the help we can get.'","Their laughter served as a brief respite from the gravity of their mission, a shared moment that reinforced their common humanity amidst the unknowable.",as a result,"['aftermath', 'outcome', 'result', 'consequence', 'effect']",[],161,Relation
"As they congregated at the elevator, a tension palpable, Sam Rivera piped in with a tone of balanced levity, 'Hope everyone’s brought their good luck charms. Something tells me we’re going to need all the help we can get.'","The team was descending into the earth, carrying with them not only the weight of their equipment but also the silent pressure of the invisible war they were about to fight—a war that seemed to edge away from physicality and into the unnervingly psychological.",at the same time,"['in tandem', 'at once', 'concurrently', 'together', 'simultaneously']",[],162,Relation
"As they descended, Dr. Jordan Hayes couldn't help but muse over the layers of data that could wait below, now almost longing for the comfort of empirical evidence.","To think that this reluctance to accept other possibilities may have been my biggest blind spot, Jordan contemplated, feeling the hard shell of skepticism begin to crack.",because,"['due to', 'on account of', 'thanks to', 'owing to', 'as a result of']",[],163,Relation
"Alex caught Jordan's reflective gaze and leaned in, his voice barely a murmur over the hum of the elevator.","Once we're down there, keep that analytical edge sharp. You see through the mazes of the unexplained better than anyone.",because,"['due to', 'on account of', 'thanks to', 'owing to', 'as a result of']",[],164,Relation
"Alex caught Jordan's reflective gaze and leaned in, his voice barely a murmur over the hum of the elevator.","Jordan said, the words carrying a trace of newfound assertiveness.",as a result,"['aftermath', 'outcome', 'result', 'consequence', 'effect']",[],165,Relation
"Alex turned, his features a mask of uneasy resolve.",Alex,is participated by,"['is part of', 'is represented by', 'is included in', 'involves', 'acted by']",[],166,Relation
"Jordan gave a short nod, their analytical mind colliding with the uncertain dynamics of this operation.",Jordan,is participated by,"['is part of', 'is represented by', 'is included in', 'involves', 'acted by']",[],167,Relation
"Their eyes locked with Alex's, silently exchanging a vow to remain vigilant.",Alex,is participated by,"['is part of', 'is represented by', 'is included in', 'involves', 'acted by']",[],168,Relation
"Their eyes locked with Alex's, silently exchanging a vow to remain vigilant.",Jordan,is participated by,"['is part of', 'is represented by', 'is included in', 'involves', 'acted by']",[],169,Relation
"Taylor Cruz interjected sharply, stepping into their exchange.",Taylor Cruz,is participated by,"['is part of', 'is represented by', 'is included in', 'involves', 'acted by']",[],170,Relation
"Alex's response was measured, more assertive than moments ago.",Alex,is participated by,"['is part of', 'is represented by', 'is included in', 'involves', 'acted by']",[],171,Relation
"Sam Rivera piped in with a tone of balanced levity, 'Hope everyone’s brought their good luck charms.'",Sam Rivera,is participated by,"['is part of', 'is represented by', 'is included in', 'involves', 'acted by']",[],172,Relation
Their laughter served as a brief respite from the gravity of their mission.,Alex,is participated by,"['is part of', 'is represented by', 'is included in', 'involves', 'acted by']",[],173,Relation
Their laughter served as a brief respite from the gravity of their mission.,Jordan,is participated by,"['is part of', 'is represented by', 'is included in', 'involves', 'acted by']",[],174,Relation
Their laughter served as a brief respite from the gravity of their mission.,Taylor Cruz,is participated by,"['is part of', 'is represented by', 'is included in', 'involves', 'acted by']",[],175,Relation
Their laughter served as a brief respite from the gravity of their mission.,Sam Rivera,is participated by,"['is part of', 'is represented by', 'is included in', 'involves', 'acted by']",[],176,Relation
"The team was descending into the earth, carrying with them not only the weight of their equipment but also the silent pressure of the invisible war they were about to fight—a war that seemed to edge away from physicality and into the unnervingly psychological.",Alex,is participated by,"['is part of', 'is represented by', 'is included in', 'involves', 'acted by']",[],177,Relation
"The team was descending into the earth, carrying with them not only the weight of their equipment but also the silent pressure of the invisible war they were about to fight—a war that seemed to edge away from physicality and into the unnervingly psychological.",Jordan,is participated by,"['is part of', 'is represented by', 'is included in', 'involves', 'acted by']",[],178,Relation
"The team was descending into the earth, carrying with them not only the weight of their equipment but also the silent pressure of the invisible war they were about to fight—a war that seemed to edge away from physicality and into the unnervingly psychological.",Taylor Cruz,is participated by,"['is part of', 'is represented by', 'is included in', 'involves', 'acted by']",[],179,Relation
"The team was descending into the earth, carrying with them not only the weight of their equipment but also the silent pressure of the invisible war they were about to fight—a war that seemed to edge away from physicality and into the unnervingly psychological.",Sam Rivera,is participated by,"['is part of', 'is represented by', 'is included in', 'involves', 'acted by']",[],180,Relation
Dr. Jordan Hayes couldn't help but muse over the layers of data that could wait below.,Dr. Jordan Hayes,is participated by,"['is part of', 'is represented by', 'is included in', 'involves', 'acted by']",[],181,Relation
"Alex caught Jordan's reflective gaze and leaned in, his voice barely a murmur over the hum of the elevator.",Alex,is participated by,"['is part of', 'is represented by', 'is included in', 'involves', 'acted by']",[],182,Relation
"Alex caught Jordan's reflective gaze and leaned in, his voice barely a murmur over the hum of the elevator.",Dr. Jordan Hayes,is participated by,"['is part of', 'is represented by', 'is included in', 'involves', 'acted by']",[],183,Relation
The compliment was unexpected and weighed differently than praise from others.,Alex,is participated by,"['is part of', 'is represented by', 'is included in', 'involves', 'acted by']",[],184,Relation
The compliment was unexpected and weighed differently than praise from others.,Dr. Jordan Hayes,is participated by,"['is part of', 'is represented by', 'is included in', 'involves', 'acted by']",[],185,Relation
elevator,shudder,ran,"['run', 'sprint', 'speed', 'accelerate', 'dash']",[],186,Relation
Cruz,expression,reacted,"['retaliate', 'reply', 'reacted to', 'answer back', 'respond to', 'acted', 'responded', 'counteract']",[],187,Relation
Cruz,command,barked,"['give warning', 'vocalize', 'make noise', 'sound off']",[],188,Relation
agents,gear,checked,"['reviewed', 'verified', 'tested', 'examined', 'inspected']",[],189,Relation
Sam,voice,crackled,"['emitted a noise', 'made a sound', 'produced a crackle']",[],190,Relation
Sam,Martians,laughed,"['burst out laughing', 'guffaw', 'smile', 'chuckle', 'snicker']",[],191,Relation
team,threshold,stepped,"['proceeded', 'walked', 'advanced', 'stepped', 'moved']",[],192,Relation
team,Dulce,advanced,"['improved', 'progressed', 'developed', 'enhanced']",[],193,Relation
door,hallway,closed,"['ended', 'finished', 'sealed', 'locked', 'shut']",[],194,Relation
Agents,altar,proceeded,"['followed', 'occurred', 'ensued', 'led to', 'happened']",[],195,Relation
Cruz,pace,set,"['establish', 'constitute', 'create', 'define', 'form']",[],196,Relation
Sam,device,offered,"['provided', 'given', 'presented', 'supplied', 'donated']",[],197,Relation
"A shudder ran through the elevator, subtle, but enough to make them instinctively hold their breaths.",It wasn't the mechanical stutter of old gears but a vibration that seemed to emanate from the very walls of the shaft—a whisper of something that defied natural explanation.,because,"['due to', 'on account of', 'thanks to', 'owing to', 'as a result of']",[],198,Relation
It wasn't the mechanical stutter of old gears but a vibration that seemed to emanate from the very walls of the shaft—a whisper of something that defied natural explanation.,"Cruz was the first to react, all business despite the shadow that crossed their expression.",before,"['precede', 'antecedent', 'come first', 'prior to', 'lead']",[],199,Relation
"Cruz was the first to react, all business despite the shadow that crossed their expression.","They barked out, 'Systems check. Now,' masking the moment of disquiet with swift command.",at the same time,"['in tandem', 'at once', 'concurrently', 'together', 'simultaneously']",[],200,Relation
"Every agent checked their gear, sending confirmation signals through their comms, creating a chorus of electronic beeps that promised readiness.","But there was an unspoken question among them: was their technology, their weaponry, their protocols sufficient for what awaited them or merely a fragile comfort?",as a result,"['aftermath', 'outcome', 'result', 'consequence', 'effect']",[],201,Relation
"Sam's voice crackled through, only half-jest, 'I'd laugh if we run into Martians playing poker down there—just to lighten the mood, you know?'","Despite—or perhaps because of—the oddity of the moment, this elicited a round of chuckles, an audible release of tension that ran counterpoint to the undercurrent of anxiety coursing through the team.",after,"['come next', 'ensue', 'follow', 'follow up', 'succeed']",[],202,Relation
"The elevator came to a halting, eerie calm at the sub-level.","The group stepped off, finding themselves at the threshold of Dulce's mysterious halls.",before,"['precede', 'antecedent', 'come first', 'prior to', 'lead']",[],203,Relation
"They stood in a tight pack, sharing a cautious glance before fanning out into the unknown, each one acutely aware that the truth was inevitably intertwined with danger.","Into the depths of Dulce, the team advanced, their silence now a shared testament to the camaraderie born of facing the abyss together—and the steel resolve to uncover whatever horrors lay hidden in its shadows.",at the same time,"['in tandem', 'at once', 'concurrently', 'together', 'simultaneously']",[],204,Relation
"The weight of the thick metal door closing behind them reverberated through the concrete hallway, marking the final threshold between the familiar world above and the strangeness that lay beneath.","Dulce base, a name that had been whispered in the wind-blown deserts above and in the shadowed corners of conspiracy forums, now a tangible cold reality that they could touch — and that touched them back with a chill.",because,"['due to', 'on account of', 'thanks to', 'owing to', 'as a result of']",[],205,Relation
"Taylor Cruz, stepping firmly into the role of de facto leader, set a brisk pace.","Eyes sharp, people. Comms check, every thirty seconds,' Taylor ordered, their voice echoing slightly before being swallowed by the surrounding silence.",at the same time,"['in tandem', 'at once', 'concurrently', 'together', 'simultaneously']",[],206,Relation
"exchange was cut short by a shudder that ran through the elevator, subtle, but enough to make them instinctively hold their breaths.",Agents,is participated by,"['is part of', 'is represented by', 'is included in', 'involves', 'acted by']",[],207,Relation
"exchange was cut short by a shudder that ran through the elevator, subtle, but enough to make them instinctively hold their breaths.",the elevator,is participated by,"['is part of', 'is represented by', 'is included in', 'involves', 'acted by']",[],208,Relation
"Cruz was the first to react, all business despite the shadow that crossed their expression. 'Systems check. Now,' they barked out, masking the moment of disquiet with swift command.",Cruz,is participated by,"['is part of', 'is represented by', 'is included in', 'involves', 'acted by']",[],209,Relation
"Cruz was the first to react, all business despite the shadow that crossed their expression. 'Systems check. Now,' they barked out, masking the moment of disquiet with swift command.",the agents,is participated by,"['is part of', 'is represented by', 'is included in', 'involves', 'acted by']",[],210,Relation
"Every agent checked their gear, sending confirmation signals through their comms, creating a chorus of electronic beeps that promised readiness.",the agents,is participated by,"['is part of', 'is represented by', 'is included in', 'involves', 'acted by']",[],211,Relation
"Every agent checked their gear, sending confirmation signals through their comms, creating a chorus of electronic beeps that promised readiness.",their gear,is participated by,"['is part of', 'is represented by', 'is included in', 'involves', 'acted by']",[],212,Relation
"Every agent checked their gear, sending confirmation signals through their comms, creating a chorus of electronic beeps that promised readiness.",their comms,is participated by,"['is part of', 'is represented by', 'is included in', 'involves', 'acted by']",[],213,Relation
"But there was an unspoken question among them: was their technology, their weaponry, their protocols sufficient for what awaited them or merely a fragile comfort?",the agents,is participated by,"['is part of', 'is represented by', 'is included in', 'involves', 'acted by']",[],214,Relation
"Sam's voice crackled through, only half-jest. 'I'd laugh if we run into Martians playing poker down there—just to lighten the mood, you know?'",Sam,is participated by,"['is part of', 'is represented by', 'is included in', 'involves', 'acted by']",[],215,Relation
"Sam's voice crackled through, only half-jest. 'I'd laugh if we run into Martians playing poker down there—just to lighten the mood, you know?'",the agents,is participated by,"['is part of', 'is represented by', 'is included in', 'involves', 'acted by']",[],216,Relation
"Despite—or perhaps because of—the oddity of the moment, this elicited a round of chuckles, an audible release of tension that ran counterpoint to the undercurrent of anxiety coursing through the team.",the agents,is participated by,"['is part of', 'is represented by', 'is included in', 'involves', 'acted by']",[],217,Relation
"As the elevator came to a halting, eerie calm at the sub-level, the group stepped off, finding themselves at the threshold of Dulce's mysterious halls.",the group,is participated by,"['is part of', 'is represented by', 'is included in', 'involves', 'acted by']",[],218,Relation
"As the elevator came to a halting, eerie calm at the sub-level, the group stepped off, finding themselves at the threshold of Dulce's mysterious halls.",Dulce's mysterious halls,is participated by,"['is part of', 'is represented by', 'is included in', 'involves', 'acted by']",[],219,Relation
"They stood in a tight pack, sharing a cautious glance before fanning out into the unknown, each one acutely aware that the truth was inevitably intertwined with danger.",the group,is participated by,"['is part of', 'is represented by', 'is included in', 'involves', 'acted by']",[],220,Relation
"Into the depths of Dulce, the team advanced, their silence now a shared testament to the camaraderie born of facing the abyss together—and the steel resolve to uncover whatever horrors lay hidden in its shadows.",the team,is participated by,"['is part of', 'is represented by', 'is included in', 'involves', 'acted by']",[],221,Relation
"Into the depths of Dulce, the team advanced, their silence now a shared testament to the camaraderie born of facing the abyss together—and the steel resolve to uncover whatever horrors lay hidden in its shadows.",Dulce,is participated by,"['is part of', 'is represented by', 'is included in', 'involves', 'acted by']",[],222,Relation
"The weight of the thick metal door closing behind them reverberated through the concrete hallway, marking the final threshold between the familiar world above and the strangeness that lay beneath.",the team,is participated by,"['is part of', 'is represented by', 'is included in', 'involves', 'acted by']",[],223,Relation
"The weight of the thick metal door closing behind them reverberated through the concrete hallway, marking the final threshold between the familiar world above and the strangeness that lay beneath.",the thick metal door,is participated by,"['is part of', 'is represented by', 'is included in', 'involves', 'acted by']",[],224,Relation
"The weight of the thick metal door closing behind them reverberated through the concrete hallway, marking the final threshold between the familiar world above and the strangeness that lay beneath.",the concrete hallway,is participated by,"['is part of', 'is represented by', 'is included in', 'involves', 'acted by']",[],225,Relation
"Dulce base, a name that had been whispered in the wind-blown deserts above and in the shadowed corners of conspiracy forums, now a tangible cold reality that they could touch — and that touched them back with a chill.",Dulce base,is participated by,"['is part of', 'is represented by', 'is included in', 'involves', 'acted by']",[],226,Relation
"Dulce base, a name that had been whispered in the wind-blown deserts above and in the shadowed corners of conspiracy forums, now a tangible cold reality that they could touch — and that touched them back with a chill.",the team,is participated by,"['is part of', 'is represented by', 'is included in', 'involves', 'acted by']",[],227,Relation
"Like lambs led to an altar of alien deities, so did Agents Alex Mercer, Jordan Hayes, Taylor Cruz, and Sam Rivera proceed, their movements measured, their senses heightened.",Agents Alex Mercer,is participated by,"['is part of', 'is represented by', 'is included in', 'involves', 'acted by']",[],228,Relation
"Like lambs led to an altar of alien deities, so did Agents Alex Mercer, Jordan Hayes, Taylor Cruz, and Sam Rivera proceed, their movements measured, their senses heightened.",Jordan Hayes,is participated by,"['is part of', 'is represented by', 'is included in', 'involves', 'acted by']",[],229,Relation
"Like lambs led to an altar of alien deities, so did Agents Alex Mercer, Jordan Hayes, Taylor Cruz, and Sam Rivera proceed, their movements measured, their senses heightened.",Taylor Cruz,is participated by,"['is part of', 'is represented by', 'is included in', 'involves', 'acted by']",[],230,Relation
"Like lambs led to an altar of alien deities, so did Agents Alex Mercer, Jordan Hayes, Taylor Cruz, and Sam Rivera proceed, their movements measured, their senses heightened.",Sam Rivera,is participated by,"['is part of', 'is represented by', 'is included in', 'involves', 'acted by']",[],231,Relation
"The air was still, almost respectful of the gravity of their presence.",the team,is participated by,"['is part of', 'is represented by', 'is included in', 'involves', 'acted by']",[],232,Relation
"Their torch beams sliced through the darkness, uncovering steel doors with warnings that spoke of top secrets and mortal dangers.",the team,is participated by,"['is part of', 'is represented by', 'is included in', 'involves', 'acted by']",[],233,Relation
"Their torch beams sliced through the darkness, uncovering steel doors with warnings that spoke of top secrets and mortal dangers.",the steel doors,is participated by,"['is part of', 'is represented by', 'is included in', 'involves', 'acted by']",[],234,Relation
"Taylor Cruz, stepping firmly into the role of de facto leader, set a brisk pace. 'Eyes sharp, people. Comms check, every thirty seconds,' Taylor ordered, their voice echoing slightly before being swallowed by the surrounding silence.",Taylor Cruz,is participated by,"['is part of', 'is represented by', 'is included in', 'involves', 'acted by']",[],235,Relation
"Taylor Cruz, stepping firmly into the role of de facto leader, set a brisk pace. 'Eyes sharp, people. Comms check, every thirty seconds,' Taylor ordered, their voice echoing slightly before being swallowed by the surrounding silence.",the team,is participated by,"['is part of', 'is represented by', 'is included in', 'involves', 'acted by']",[],236,Relation
"Sam, fiddling with a handheld device aimed at detecting electronic anomalies, offered a murmured 'Copy that,'",Sam,is participated by,"['is part of', 'is represented by', 'is included in', 'involves', 'acted by']",[],237,Relation
"Sam, fiddling with a handheld device aimed at detecting electronic anomalies, offered a murmured 'Copy that,'",the team,is participated by,"['is part of', 'is represented by', 'is included in', 'involves', 'acted by']",[],238,Relation
Jordan Hayes,panel,paused,"['interrupted', 'suspended', 'halted', 'ceased', 'stopped']",[],239,Relation
panel,base's infrastructure,appeared,"['appeared', 'came into view', 'emerged', 'showed up', 'popped up']",[],240,Relation
Jordan Hayes,significance,explained,"['described', 'made clear', 'illuminated', 'elaborated', 'clarified']",[],241,Relation
panel,something,covering,"['surround', 'enclose', 'shield', 'encompass', 'cover']",[],242,Relation
Sam,drone,reacted,"['retaliate', 'reply', 'reacted to', 'answer back', 'respond to', 'acted', 'responded', 'counteract']",[],243,Relation
drone,sensors,locked,"['secured', 'closed', 'sealed', 'locked', 'fastened']",[],244,Relation
Sam,drone,interfered,"['interrupt', 'meddle', 'intervene', 'obstruct', 'disturb']",[],245,Relation
Cruz,team,directed,"['commanded', 'led', 'guided', 'pointed', 'steered']",[],246,Relation
team,central hub,converged,"['come together', 'merge', 'unite']",[],247,Relation
central hub,imposing doors,stood,"['persisted', 'continued', 'remained', 'stood', 'endured']",[],248,Relation
doors,ajar,stood,"['persisted', 'continued', 'remained', 'stood', 'endured']",[],249,Relation
team,resolve,fortified,"['made stronger', 'strengthened', 'hardened', 'reinforced']",[],250,Relation
team,mainframe room,moved,"['relocated', 'changed place', 'shifted', 'moved to', 'changed location']",[],251,Relation
Their usual buoyancy dimmed by the oppressive atmosphere.,"It was Jordan Hayes who paused at an innocuous looking panel, nondescript amongst the gauntlet of secured doorways.",because,"['due to', 'on account of', 'thanks to', 'owing to', 'as a result of']",[],252,Relation
"Jordan Hayes who paused at an innocuous looking panel, nondescript amongst the gauntlet of secured doorways.","Mercer, Rivera, come see this,' Jordan’s voice was marked with a rare hint of urgency.",after,"['come next', 'ensue', 'follow', 'follow up', 'succeed']",[],253,Relation
"Alex joined Jordan's side, examining the panel which, at a mere glance, seemed just another part of the base's infrastructure.","Yet, to the trained eye, it appeared out of place—a facade",at the same time,"['in tandem', 'at once', 'concurrently', 'together', 'simultaneously']",[],254,Relation
"Jordan explained their reasoning as Sam approached, instinctively understanding the significance of what lay beneath, 'This panel is a recent addition — covering something they didn't want found.'","Before Alex could respond, the soft whir of an approaching drone cut through their muffled exchange.",because,"['due to', 'on account of', 'thanks to', 'owing to', 'as a result of']",[],255,Relation
"Before Alex could respond, the soft whir of an approaching drone cut through their muffled exchange.",Taylor had looped back upon hearing the commotion.,because,"['due to', 'on account of', 'thanks to', 'owing to', 'as a result of']",[],256,Relation
Taylor had looped back upon hearing the commotion.,"Cruz’s voice trailed off as the small airborne device came into view, its sensors locked onto the group.",before,"['precede', 'antecedent', 'come first', 'prior to', 'lead']",[],257,Relation
"Cruz’s voice trailed off as the small airborne device came into view, its sensors locked onto the group.","Sam was the first to react, their tech-savvy mind already steps ahead.",after,"['come next', 'ensue', 'follow', 'follow up', 'succeed']",[],258,Relation
"Sam was the first to react, their tech-savvy mind already steps ahead.","The drone lingered, its scan seeming more curious than hostile.",because,"['due to', 'on account of', 'thanks to', 'owing to', 'as a result of']",[],259,Relation
"The drone lingered, its scan seeming more curious than hostile.","The crew exhaled, a moment of collective relief palpable in the air.",as a result,"['aftermath', 'outcome', 'result', 'consequence', 'effect']",[],260,Relation
"Cruz squared their shoulders, clearly ruffled but not conceding any ground.","‘Move out,’ they directed, a hint more forceful than before.",after,"['come next', 'ensue', 'follow', 'follow up', 'succeed']",[],261,Relation
"The team pressed onward, the quiet now filled with the soft beeps of regular comms checks, their pace undeterred by the confrontation.","Yet, every agent held a renewed sense of wariness, their trust in one another deepening with the knowledge that the base—its technology, its secrets—was alive in a way they hadn't fully anticipated.",at the same time,"['in tandem', 'at once', 'concurrently', 'together', 'simultaneously']",[],262,Relation
"The imposing doors to the mainframe room stood ajar — an invitation or a trap, neither option comforting.","Without a word, they fortified their resolve and stepped through the threshold,",at the same time,"['in tandem', 'at once', 'concurrently', 'together', 'simultaneously']",[],263,Relation
"Without a word, they fortified their resolve and stepped through the threshold, where the dim glow of operational LED lights and the distant hum of machinery hinted at Dulce’s still-beating heart.","Solemnly, yet unmistakably together, they moved deeper into the heart of the enigma, ready to unmask the lifeforce of Dulce base or confront whatever existential threat lay in wait.",at the same time,"['in tandem', 'at once', 'concurrently', 'together', 'simultaneously']",[],264,Relation
Jordan Hayes paused at an innocuous looking panel,Jordan Hayes,is participated by,"['is part of', 'is represented by', 'is included in', 'involves', 'acted by']",[],265,Relation
Jordan Hayes paused at an innocuous looking panel,Mercer,is participated by,"['is part of', 'is represented by', 'is included in', 'involves', 'acted by']",[],266,Relation
Jordan Hayes paused at an innocuous looking panel,Rivera,is participated by,"['is part of', 'is represented by', 'is included in', 'involves', 'acted by']",[],267,Relation
"Alex joined Jordan's side, examining the panel",Alex,is participated by,"['is part of', 'is represented by', 'is included in', 'involves', 'acted by']",[],268,Relation
"Alex joined Jordan's side, examining the panel",Jordan Hayes,is participated by,"['is part of', 'is represented by', 'is included in', 'involves', 'acted by']",[],269,Relation
Jordan explained their reasoning as Sam approached,Jordan Hayes,is participated by,"['is part of', 'is represented by', 'is included in', 'involves', 'acted by']",[],270,Relation
Jordan explained their reasoning as Sam approached,Sam,is participated by,"['is part of', 'is represented by', 'is included in', 'involves', 'acted by']",[],271,Relation
The soft whir of an approaching drone cut through their muffled exchange,Taylor,is participated by,"['is part of', 'is represented by', 'is included in', 'involves', 'acted by']",[],272,Relation
